Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events
Ukraine,Ternopil,Chortkivskyi,UKR,UA6106,UA61,March,2019,0
Ukraine,Cherkasy,Zolotoniskyi,UKR,UA7104,UA71,March,2019,0
Ukraine,Chernihiv,Chernihivskyi,UKR,UA7410,UA74,March,2019,1
Ukraine,Crimea,Feodosiiskyi,UKR,UA0118,UA01,March,2019,0
Ukraine,Crimea,Yevpatoriiskyi,UKR,UA0108,UA01,March,2019,0
Ukraine,Dnipropetrovsk,Synelnykivskyi,UKR,UA1214,UA12,March,2019,0
Ukraine,Kharkiv,Lozivskyi,UKR,UA6310,UA63,March,2019,0
Ukraine,Kirovograd,Holovanivskyi,UKR,UA3502,UA35,March,2019,0
Ukraine,Kyiv,Boryspilskyi,UKR,UA3204,UA32,March,2019,0
Ukraine,Odesa,Podilskyi,UKR,UA5112,UA51,March,2019,0
Ukraine,Poltava,Kremenchutskyi,UKR,UA5302,UA53,March,2019,0
Ukraine,Sumy,Romenskyi,UKR,UA5906,UA59,March,2019,0
Ukraine,Sumy,Shostkynskyi,UKR,UA5910,UA59,March,2019,0
Ukraine,Vinnytsia,Khmilnytskyi,UKR,UA0512,UA05,March,2019,0
Ukraine,Volyn,Volodymyr-Volynskyi,UKR,UA0702,UA07,March,2019,0
Ukraine,Zhytomyr,Berdychivskyi,UKR,UA1802,UA18,March,2019,0
Ukraine,Chernihiv,Prylutskyi,UKR,UA7408,UA74,March,2019,0
Ukraine,Crimea,Bakhchysaraiskyi,UKR,UA0102,UA01,March,2019,0
Ukraine,Donetsk,Bakhmutskyi,UKR,UA1402,UA14,March,2019,0
Ukraine,Donetsk,Mariupolskyi,UKR,UA1414,UA14,March,2019,1
Ukraine,Donetsk,Pokrovskyi,UKR,UA1416,UA14,March,2019,0
Ukraine,Kharkiv,Iziumskyi,UKR,UA6304,UA63,March,2019,1
Ukraine,Kharkiv,Krasnohradskyi,UKR,UA6306,UA63,March,2019,0
Ukraine,Kherson,Henicheskyi,UKR,UA6504,UA65,March,2019,0
Ukraine,Khmelnytskyi,Kamianets-Podilskyi,UKR,UA6802,UA68,March,2019,0
Ukraine,Khmelnytskyi,Khmelnytskyi,UKR,UA6804,UA68,March,2019,0
Ukraine,Kirovograd,Novoukrainskyi,UKR,UA3506,UA35,March,2019,0
Ukraine,Kyiv,Bilotserkivskyi,UKR,UA3202,UA32,March,2019,0
Ukraine,Kyiv,Obukhivskyi,UKR,UA3212,UA32,March,2019,1
Ukraine,Luhansk,Dovzhanskyi,UKR,UA4404,UA44,March,2019,0
Ukraine,Luhansk,Luhanskyi,UKR,UA4406,UA44,March,2019,0
Ukraine,Luhansk,Shchastynskyi,UKR,UA4416,UA44,March,2019,0
Ukraine,Lviv,Drohobytskyi,UKR,UA4602,UA46,March,2019,0
Ukraine,Lviv,Sambirskyi,UKR,UA4608,UA46,March,2019,0
Ukraine,Lviv,Yavorivskyi,UKR,UA4614,UA46,March,2019,0
Ukraine,Lviv,Zolochivskyi,UKR,UA4604,UA46,March,2019,0
Ukraine,Rivne,Rivnenskyi,UKR,UA5606,UA56,March,2019,1
Ukraine,Sumy,Okhtyrskyi,UKR,UA5904,UA59,March,2019,0
Ukraine,Vinnytsia,Haisynskyi,UKR,UA0504,UA05,March,2019,0
Ukraine,Volyn,Kovelskyi,UKR,UA0706,UA07,March,2019,0
Ukraine,Zakarpattia,Berehivskyi,UKR,UA2102,UA21,March,2019,0
Ukraine,Zhytomyr,Korostenskyi,UKR,UA1806,UA18,March,2019,1
Ukraine,Zhytomyr,Zhytomyrskyi,UKR,UA1804,UA18,March,2019,2
Ukraine,Chernihiv,Koriukivskyi,UKR,UA7402,UA74,March,2019,0
Ukraine,Chernivtsi,Chernivetskyi,UKR,UA7306,UA73,March,2019,0
Ukraine,Crimea,Yaltynskyi,UKR,UA0120,UA01,March,2019,0
Ukraine,Dnipropetrovsk,Kamianskyi,UKR,UA1204,UA12,March,2019,0
Ukraine,Dnipropetrovsk,Kryvorizkyi,UKR,UA1206,UA12,March,2019,2
Ukraine,Dnipropetrovsk,Nikopolskyi,UKR,UA1208,UA12,March,2019,0
Ukraine,Dnipropetrovsk,Novomoskovskyi,UKR,UA1210,UA12,March,2019,0
Ukraine,Ivano-Frankivsk,Kolomyiskyi,UKR,UA2608,UA26,March,2019,0
Ukraine,Ivano-Frankivsk,Kosivskyi,UKR,UA2610,UA26,March,2019,0
Ukraine,Kharkiv,Chuguivskyi,UKR,UA6314,UA63,March,2019,0
Ukraine,Luhansk,Rovenkivskyi,UKR,UA4408,UA44,March,2019,0
Ukraine,Luhansk,Sievierodonetskyi,UKR,UA4412,UA44,March,2019,0
Ukraine,Lviv,Chervonohradskyi,UKR,UA4612,UA46,March,2019,0
Ukraine,Mykolaiv,Bashtanskyi,UKR,UA4802,UA48,March,2019,0
Ukraine,Rivne,Dubenskyi,UKR,UA5604,UA56,March,2019,1
Ukraine,Rivne,Sarnenskyi,UKR,UA5608,UA56,March,2019,0
Ukraine,Sumy,Konotopskyi,UKR,UA5902,UA59,March,2019,0
Ukraine,Sumy,Sumskyi,UKR,UA5908,UA59,March,2019,1
Ukraine,Vinnytsia,Mohyliv-Podilskyi,UKR,UA0508,UA05,March,2019,0
Ukraine,Zakarpattia,Tiachivskyi,UKR,UA2108,UA21,March,2019,0
Ukraine,Zaporizhia,Melitopolskyi,UKR,UA2308,UA23,March,2019,1
Ukraine,Black Sea,,UKR,,,March,2019,0
Ukraine,Cherkasy,Zvenyhorodskyi,UKR,UA7102,UA71,March,2019,0
Ukraine,Chernihiv,Novhorod-Siverskyi,UKR,UA7406,UA74,March,2019,0
Ukraine,Crimea,Bilohirskyi,UKR,UA0104,UA01,March,2019,0
Ukraine,Donetsk,Horlivskyi,UKR,UA1406,UA14,March,2019,0
Ukraine,Ivano-Frankivsk,Nadvirnianskyi,UKR,UA2612,UA26,March,2019,0
Ukraine,Kharkiv,Bohodukhivskyi,UKR,UA6302,UA63,March,2019,0
Ukraine,Kyiv,Fastivskyi,UKR,UA3214,UA32,March,2019,1
Ukraine,Mykolaiv,Pervomaiskyi,UKR,UA4808,UA48,March,2019,0
Ukraine,Odesa,Berezivskyi,UKR,UA5102,UA51,March,2019,0
Ukraine,Ternopil,Kremenetskyi,UKR,UA6102,UA61,March,2019,0
Ukraine,Zakarpattia,Mukachivskyi,UKR,UA2104,UA21,March,2019,0
Ukraine,Zaporizhia,Zaporizkyi,UKR,UA2306,UA23,March,2019,6
Ukraine,Kyiv City,Kyiv,UKR,UA8000,UA80,March,2019,26
Ukraine,Cherkasy,Umanskyi,UKR,UA7106,UA71,March,2019,0
Ukraine,Chernihiv,Nizhynskyi,UKR,UA7404,UA74,March,2019,0
Ukraine,Chernivtsi,Vyzhnytskyi,UKR,UA7302,UA73,March,2019,0
Ukraine,Donetsk,Kramatorskyi,UKR,UA1412,UA14,March,2019,1
Ukraine,Donetsk,Volnovaskyi,UKR,UA1404,UA14,March,2019,0
Ukraine,Ivano-Frankivsk,Verkhovynskyi,UKR,UA2602,UA26,March,2019,0
Ukraine,Kharkiv,Kupianskyi,UKR,UA6308,UA63,March,2019,0
Ukraine,Kherson,Khersonskyi,UKR,UA6510,UA65,March,2019,1
Ukraine,Lviv,Lvivskyi,UKR,UA4606,UA46,March,2019,5
Ukraine,Lviv,Stryiskyi,UKR,UA4610,UA46,March,2019,0
Ukraine,Mykolaiv,Voznesenskyi,UKR,UA4804,UA48,March,2019,0
Ukraine,Odesa,Bilhorod-Dnistrovskyi,UKR,UA5104,UA51,March,2019,1
Ukraine,Odesa,Rozdilnianskyi,UKR,UA5114,UA51,March,2019,0
Ukraine,Rivne,Varaskyi,UKR,UA5602,UA56,March,2019,0
Ukraine,Volyn,Lutskyi,UKR,UA0708,UA07,March,2019,0
Ukraine,Zakarpattia,Uzhhorodskyi,UKR,UA2110,UA21,March,2019,1
Ukraine,Ivano-Frankivsk,Kaluskyi,UKR,UA2606,UA26,March,2019,0
Ukraine,Kherson,Beryslavskyi,UKR,UA6502,UA65,March,2019,0
Ukraine,Kirovograd,Oleksandriiskyi,UKR,UA3508,UA35,March,2019,0
Ukraine,Luhansk,Alchevskyi,UKR,UA4402,UA44,March,2019,0
Ukraine,Odesa,Bolhradskyi,UKR,UA5106,UA51,March,2019,0
Ukraine,Odesa,Izmailskyi,UKR,UA5108,UA51,March,2019,0
Ukraine,Odesa,Odeskyi,UKR,UA5110,UA51,March,2019,4
Ukraine,Poltava,Lubenskyi,UKR,UA5304,UA53,March,2019,0
Ukraine,Ternopil,Ternopilskyi,UKR,UA6104,UA61,March,2019,1
Ukraine,Vinnytsia,Zhmerynskyi,UKR,UA0506,UA05,March,2019,0
Ukraine,Volyn,Kamin-Kashyrskyi,UKR,UA0704,UA07,March,2019,0
Ukraine,Zakarpattia,Khustskyi,UKR,UA2112,UA21,March,2019,0
Ukraine,Zaporizhia,Polohivskyi,UKR,UA2310,UA23,March,2019,0
Ukraine,Zhytomyr,Novohrad-Volynskyi,UKR,UA1808,UA18,March,2019,0
Ukraine,Sea of Azov,,UKR,,,March,2019,0
Ukraine,Cherkasy,Cherkaskyi,UKR,UA7108,UA71,March,2019,2
Ukraine,Chernivtsi,Dnistrovskyi,UKR,UA7304,UA73,March,2019,0
Ukraine,Crimea,Dzhankoiskyi,UKR,UA0106,UA01,March,2019,0
Ukraine,Crimea,Perekopskyi,UKR,UA0114,UA01,March,2019,0
Ukraine,Dnipropetrovsk,Dniprovskyi,UKR,UA1202,UA12,March,2019,4
Ukraine,Dnipropetrovsk,Pavlohradskyi,UKR,UA1212,UA12,March,2019,0
Ukraine,Donetsk,Donetskyi,UKR,UA1408,UA14,March,2019,0
Ukraine,Donetsk,Kalmiuskyi,UKR,UA1410,UA14,March,2019,0
Ukraine,Kharkiv,Kharkivskyi,UKR,UA6312,UA63,March,2019,6
Ukraine,Khmelnytskyi,Shepetivskyi,UKR,UA6806,UA68,March,2019,0
Ukraine,Kyiv,Buchanskyi,UKR,UA3208,UA32,March,2019,1
Ukraine,Luhansk,Svativskyi,UKR,UA4410,UA44,March,2019,0
Ukraine,Mykolaiv,Mykolaivskyi,UKR,UA4806,UA48,March,2019,1
Ukraine,Poltava,Poltavskyi,UKR,UA5308,UA53,March,2019,1
Ukraine,Vinnytsia,Tulchynskyi,UKR,UA0510,UA05,March,2019,0
Ukraine,Vinnytsia,Vinnytskyi,UKR,UA0502,UA05,March,2019,2
Ukraine,Zakarpattia,Rakhivskyi,UKR,UA2106,UA21,March,2019,0
Ukraine,Zaporizhia,Berdianskyi,UKR,UA2302,UA23,March,2019,0
Ukraine,Zaporizhia,Vasylivskyi,UKR,UA2304,UA23,March,2019,0
Ukraine,Crimea,Kerchenskyi,UKR,UA0110,UA01,April,2019,0
Ukraine,Crimea,Kurmanskyi,UKR,UA0112,UA01,April,2019,0
Ukraine,Crimea,Simferopolskyi,UKR,UA0116,UA01,April,2019,1
Ukraine,Ivano-Frankivsk,Ivano-Frankivskyi,UKR,UA2604,UA26,April,2019,0
Ukraine,Kherson,Kakhovskyi,UKR,UA6506,UA65,April,2019,0
Ukraine,Kherson,Skadovskyi,UKR,UA6508,UA65,April,2019,0
Ukraine,Kirovograd,Kropyvnytskyi,UKR,UA3504,UA35,April,2019,0
Ukraine,Kyiv,Brovarskyi,UKR,UA3206,UA32,April,2019,0
Ukraine,Kyiv,Vyshhorodskyi,UKR,UA3210,UA32,April,2019,1
Ukraine,Luhansk,Starobilskyi,UKR,UA4414,UA44,April,2019,0
Ukraine,Poltava,Myrhorodskyi,UKR,UA5306,UA53,April,2019,0
Ukraine,Ternopil,Chortkivskyi,UKR,UA6106,UA61,April,2019,0
Ukraine,Cherkasy,Zolotoniskyi,UKR,UA7104,UA71,April,2019,1
Ukraine,Chernihiv,Chernihivskyi,UKR,UA7410,UA74,April,2019,1
Ukraine,Crimea,Feodosiiskyi,UKR,UA0118,UA01,April,2019,0
Ukraine,Crimea,Yevpatoriiskyi,UKR,UA0108,UA01,April,2019,0
Ukraine,Dnipropetrovsk,Synelnykivskyi,UKR,UA1214,UA12,April,2019,0
Ukraine,Kharkiv,Lozivskyi,UKR,UA6310,UA63,April,2019,0
Ukraine,Kirovograd,Holovanivskyi,UKR,UA3502,UA35,April,2019,0
Ukraine,Kyiv,Boryspilskyi,UKR,UA3204,UA32,April,2019,0
Ukraine,Odesa,Podilskyi,UKR,UA5112,UA51,April,2019,0
Ukraine,Poltava,Kremenchutskyi,UKR,UA5302,UA53,April,2019,0
Ukraine,Sumy,Romenskyi,UKR,UA5906,UA59,April,2019,0
Ukraine,Sumy,Shostkynskyi,UKR,UA5910,UA59,April,2019,0
Ukraine,Vinnytsia,Khmilnytskyi,UKR,UA0512,UA05,April,2019,0
Ukraine,Volyn,Volodymyr-Volynskyi,UKR,UA0702,UA07,April,2019,0
Ukraine,Zhytomyr,Berdychivskyi,UKR,UA1802,UA18,April,2019,0
Ukraine,Chernihiv,Prylutskyi,UKR,UA7408,UA74,April,2019,0
Ukraine,Crimea,Bakhchysaraiskyi,UKR,UA0102,UA01,April,2019,0
Ukraine,Donetsk,Bakhmutskyi,UKR,UA1402,UA14,April,2019,0
Ukraine,Donetsk,Mariupolskyi,UKR,UA1414,UA14,April,2019,0
Ukraine,Donetsk,Pokrovskyi,UKR,UA1416,UA14,April,2019,0
Ukraine,Kharkiv,Iziumskyi,UKR,UA6304,UA63,April,2019,0
Ukraine,Kharkiv,Krasnohradskyi,UKR,UA6306,UA63,April,2019,0
Ukraine,Kherson,Henicheskyi,UKR,UA6504,UA65,April,2019,0
Ukraine,Khmelnytskyi,Kamianets-Podilskyi,UKR,UA6802,UA68,April,2019,0
Ukraine,Khmelnytskyi,Khmelnytskyi,UKR,UA6804,UA68,April,2019,0
Ukraine,Kirovograd,Novoukrainskyi,UKR,UA3506,UA35,April,2019,0
Ukraine,Kyiv,Bilotserkivskyi,UKR,UA3202,UA32,April,2019,0
Ukraine,Kyiv,Obukhivskyi,UKR,UA3212,UA32,April,2019,0
Ukraine,Luhansk,Dovzhanskyi,UKR,UA4404,UA44,April,2019,0
Ukraine,Luhansk,Luhanskyi,UKR,UA4406,UA44,April,2019,0
Ukraine,Luhansk,Shchastynskyi,UKR,UA4416,UA44,April,2019,0
Ukraine,Lviv,Drohobytskyi,UKR,UA4602,UA46,April,2019,0
Ukraine,Lviv,Sambirskyi,UKR,UA4608,UA46,April,2019,0
Ukraine,Lviv,Yavorivskyi,UKR,UA4614,UA46,April,2019,0
Ukraine,Lviv,Zolochivskyi,UKR,UA4604,UA46,April,2019,0
Ukraine,Rivne,Rivnenskyi,UKR,UA5606,UA56,April,2019,0
Ukraine,Sumy,Okhtyrskyi,UKR,UA5904,UA59,April,2019,0
Ukraine,Vinnytsia,Haisynskyi,UKR,UA0504,UA05,April,2019,0
Ukraine,Volyn,Kovelskyi,UKR,UA0706,UA07,April,2019,0
Ukraine,Zakarpattia,Berehivskyi,UKR,UA2102,UA21,April,2019,0
Ukraine,Zhytomyr,Korostenskyi,UKR,UA1806,UA18,April,2019,9
Ukraine,Zhytomyr,Zhytomyrskyi,UKR,UA1804,UA18,April,2019,0
Ukraine,Chernihiv,Koriukivskyi,UKR,UA7402,UA74,April,2019,0
Ukraine,Chernivtsi,Chernivetskyi,UKR,UA7306,UA73,April,2019,0
Ukraine,Crimea,Yaltynskyi,UKR,UA0120,UA01,April,2019,0
Ukraine,Dnipropetrovsk,Kamianskyi,UKR,UA1204,UA12,April,2019,0
Ukraine,Dnipropetrovsk,Kryvorizkyi,UKR,UA1206,UA12,April,2019,0
Ukraine,Dnipropetrovsk,Nikopolskyi,UKR,UA1208,UA12,April,2019,0
Ukraine,Dnipropetrovsk,Novomoskovskyi,UKR,UA1210,UA12,April,2019,0
Ukraine,Ivano-Frankivsk,Kolomyiskyi,UKR,UA2608,UA26,April,2019,0
Ukraine,Ivano-Frankivsk,Kosivskyi,UKR,UA2610,UA26,April,2019,0
Ukraine,Kharkiv,Chuguivskyi,UKR,UA6314,UA63,April,2019,0
Ukraine,Luhansk,Rovenkivskyi,UKR,UA4408,UA44,April,2019,0
Ukraine,Luhansk,Sievierodonetskyi,UKR,UA4412,UA44,April,2019,0
Ukraine,Lviv,Chervonohradskyi,UKR,UA4612,UA46,April,2019,0
Ukraine,Mykolaiv,Bashtanskyi,UKR,UA4802,UA48,April,2019,0
Ukraine,Rivne,Dubenskyi,UKR,UA5604,UA56,April,2019,0
Ukraine,Rivne,Sarnenskyi,UKR,UA5608,UA56,April,2019,0
Ukraine,Sumy,Konotopskyi,UKR,UA5902,UA59,April,2019,0
Ukraine,Sumy,Sumskyi,UKR,UA5908,UA59,April,2019,2
Ukraine,Vinnytsia,Mohyliv-Podilskyi,UKR,UA0508,UA05,April,2019,0
Ukraine,Zakarpattia,Tiachivskyi,UKR,UA2108,UA21,April,2019,0
Ukraine,Zaporizhia,Melitopolskyi,UKR,UA2308,UA23,April,2019,0
Ukraine,Black Sea,,UKR,,,April,2019,0
Ukraine,Cherkasy,Zvenyhorodskyi,UKR,UA7102,UA71,April,2019,0
Ukraine,Chernihiv,Novhorod-Siverskyi,UKR,UA7406,UA74,April,2019,0
Ukraine,Crimea,Bilohirskyi,UKR,UA0104,UA01,April,2019,0
Ukraine,Donetsk,Horlivskyi,UKR,UA1406,UA14,April,2019,0
Ukraine,Ivano-Frankivsk,Nadvirnianskyi,UKR,UA2612,UA26,April,2019,0
Ukraine,Kharkiv,Bohodukhivskyi,UKR,UA6302,UA63,April,2019,0
Ukraine,Kyiv,Fastivskyi,UKR,UA3214,UA32,April,2019,0
Ukraine,Mykolaiv,Pervomaiskyi,UKR,UA4808,UA48,April,2019,0
Ukraine,Odesa,Berezivskyi,UKR,UA5102,UA51,April,2019,0
Ukraine,Ternopil,Kremenetskyi,UKR,UA6102,UA61,April,2019,0
Ukraine,Zakarpattia,Mukachivskyi,UKR,UA2104,UA21,April,2019,0
Ukraine,Zaporizhia,Zaporizkyi,UKR,UA2306,UA23,April,2019,2
Ukraine,Kyiv City,Kyiv,UKR,UA8000,UA80,April,2019,27
Ukraine,Cherkasy,Umanskyi,UKR,UA7106,UA71,April,2019,0
Ukraine,Chernihiv,Nizhynskyi,UKR,UA7404,UA74,April,2019,0
Ukraine,Chernivtsi,Vyzhnytskyi,UKR,UA7302,UA73,April,2019,0
Ukraine,Donetsk,Kramatorskyi,UKR,UA1412,UA14,April,2019,0
Ukraine,Donetsk,Volnovaskyi,UKR,UA1404,UA14,April,2019,0
Ukraine,Ivano-Frankivsk,Verkhovynskyi,UKR,UA2602,UA26,April,2019,0
Ukraine,Kharkiv,Kupianskyi,UKR,UA6308,UA63,April,2019,0
Ukraine,Kherson,Khersonskyi,UKR,UA6510,UA65,April,2019,0
Ukraine,Lviv,Lvivskyi,UKR,UA4606,UA46,April,2019,1
Ukraine,Lviv,Stryiskyi,UKR,UA4610,UA46,April,2019,0
Ukraine,Mykolaiv,Voznesenskyi,UKR,UA4804,UA48,April,2019,0
Ukraine,Odesa,Bilhorod-Dnistrovskyi,UKR,UA5104,UA51,April,2019,0
Ukraine,Odesa,Rozdilnianskyi,UKR,UA5114,UA51,April,2019,0
Ukraine,Rivne,Varaskyi,UKR,UA5602,UA56,April,2019,0
Ukraine,Volyn,Lutskyi,UKR,UA0708,UA07,April,2019,0
Ukraine,Zakarpattia,Uzhhorodskyi,UKR,UA2110,UA21,April,2019,0
Ukraine,Ivano-Frankivsk,Kaluskyi,UKR,UA2606,UA26,April,2019,0
Ukraine,Kherson,Beryslavskyi,UKR,UA6502,UA65,April,2019,0
Ukraine,Kirovograd,Oleksandriiskyi,UKR,UA3508,UA35,April,2019,0
Ukraine,Luhansk,Alchevskyi,UKR,UA4402,UA44,April,2019,0
Ukraine,Odesa,Bolhradskyi,UKR,UA5106,UA51,April,2019,0
Ukraine,Odesa,Izmailskyi,UKR,UA5108,UA51,April,2019,0
Ukraine,Odesa,Odeskyi,UKR,UA5110,UA51,April,2019,2
Ukraine,Poltava,Lubenskyi,UKR,UA5304,UA53,April,2019,0
Ukraine,Ternopil,Ternopilskyi,UKR,UA6104,UA61,April,2019,0
Ukraine,Vinnytsia,Zhmerynskyi,UKR,UA0506,UA05,April,2019,0
Ukraine,Volyn,Kamin-Kashyrskyi,UKR,UA0704,UA07,April,2019,0
Ukraine,Zakarpattia,Khustskyi,UKR,UA2112,UA21,April,2019,0
Ukraine,Zaporizhia,Polohivskyi,UKR,UA2310,UA23,April,2019,0
Ukraine,Zhytomyr,Novohrad-Volynskyi,UKR,UA1808,UA18,April,2019,0
Ukraine,Sea of Azov,,UKR,,,April,2019,0
Ukraine,Cherkasy,Cherkaskyi,UKR,UA7108,UA71,April,2019,0
Ukraine,Chernivtsi,Dnistrovskyi,UKR,UA7304,UA73,April,2019,0
Ukraine,Crimea,Dzhankoiskyi,UKR,UA0106,UA01,April,2019,0
Ukraine,Crimea,Perekopskyi,UKR,UA0114,UA01,April,2019,0
Ukraine,Dnipropetrovsk,Dniprovskyi,UKR,UA1202,UA12,April,2019,0
Ukraine,Dnipropetrovsk,Pavlohradskyi,UKR,UA1212,UA12,April,2019,0
Ukraine,Donetsk,Donetskyi,UKR,UA1408,UA14,April,2019,0
Ukraine,Donetsk,Kalmiuskyi,UKR,UA1410,UA14,April,2019,0
Ukraine,Kharkiv,Kharkivskyi,UKR,UA6312,UA63,April,2019,1
Ukraine,Khmelnytskyi,Shepetivskyi,UKR,UA6806,UA68,April,2019,0
Ukraine,Kyiv,Buchanskyi,UKR,UA3208,UA32,April,2019,2
Ukraine,Luhansk,Svativskyi,UKR,UA4410,UA44,April,2019,0
Ukraine,Mykolaiv,Mykolaivskyi,UKR,UA4806,UA48,April,2019,0
Ukraine,Poltava,Poltavskyi,UKR,UA5308,UA53,April,2019,0
Ukraine,Vinnytsia,Tulchynskyi,UKR,UA0510,UA05,April,2019,0
Ukraine,Vinnytsia,Vinnytskyi,UKR,UA0502,UA05,April,2019,2
Ukraine,Zakarpattia,Rakhivskyi,UKR,UA2106,UA21,April,2019,3
Ukraine,Zaporizhia,Berdianskyi,UKR,UA2302,UA23,April,2019,0
Ukraine,Zaporizhia,Vasylivskyi,UKR,UA2304,UA23,April,2019,0
Ukraine,Crimea,Kerchenskyi,UKR,UA0110,UA01,May,2019,0
Ukraine,Crimea,Kurmanskyi,UKR,UA0112,UA01,May,2019,1
Ukraine,Crimea,Simferopolskyi,UKR,UA0116,UA01,May,2019,3
Ukraine,Ivano-Frankivsk,Ivano-Frankivskyi,UKR,UA2604,UA26,May,2019,2
Ukraine,Kherson,Kakhovskyi,UKR,UA6506,UA65,May,2019,0
Ukraine,Kherson,Skadovskyi,UKR,UA6508,UA65,May,2019,0
Ukraine,Kirovograd,Kropyvnytskyi,UKR,UA3504,UA35,May,2019,0
Ukraine,Kyiv,Brovarskyi,UKR,UA3206,UA32,May,2019,2
Ukraine,Kyiv,Vyshhorodskyi,UKR,UA3210,UA32,May,2019,0
Ukraine,Luhansk,Starobilskyi,UKR,UA4414,UA44,May,2019,1
Ukraine,Poltava,Myrhorodskyi,UKR,UA5306,UA53,May,2019,0
Ukraine,Ternopil,Chortkivskyi,UKR,UA6106,UA61,May,2019,1
Ukraine,Cherkasy,Zolotoniskyi,UKR,UA7104,UA71,May,2019,0
Ukraine,Chernihiv,Chernihivskyi,UKR,UA7410,UA74,May,2019,2
Ukraine,Crimea,Feodosiiskyi,UKR,UA0118,UA01,May,2019,0
Ukraine,Crimea,Yevpatoriiskyi,UKR,UA0108,UA01,May,2019,0
Ukraine,Dnipropetrovsk,Synelnykivskyi,UKR,UA1214,UA12,May,2019,0
Ukraine,Kharkiv,Lozivskyi,UKR,UA6310,UA63,May,2019,0
Ukraine,Kirovograd,Holovanivskyi,UKR,UA3502,UA35,May,2019,0
Ukraine,Kyiv,Boryspilskyi,UKR,UA3204,UA32,May,2019,0
Ukraine,Odesa,Podilskyi,UKR,UA5112,UA51,May,2019,0
Ukraine,Poltava,Kremenchutskyi,UKR,UA5302,UA53,May,2019,1
Ukraine,Sumy,Romenskyi,UKR,UA5906,UA59,May,2019,0
Ukraine,Sumy,Shostkynskyi,UKR,UA5910,UA59,May,2019,0
Ukraine,Vinnytsia,Khmilnytskyi,UKR,UA0512,UA05,May,2019,0
Ukraine,Volyn,Volodymyr-Volynskyi,UKR,UA0702,UA07,May,2019,0
Ukraine,Zhytomyr,Berdychivskyi,UKR,UA1802,UA18,May,2019,0
Ukraine,Chernihiv,Prylutskyi,UKR,UA7408,UA74,May,2019,0
Ukraine,Crimea,Bakhchysaraiskyi,UKR,UA0102,UA01,May,2019,0
Ukraine,Donetsk,Bakhmutskyi,UKR,UA1402,UA14,May,2019,1
Ukraine,Donetsk,Mariupolskyi,UKR,UA1414,UA14,May,2019,2
Ukraine,Donetsk,Pokrovskyi,UKR,UA1416,UA14,May,2019,1
Ukraine,Kharkiv,Iziumskyi,UKR,UA6304,UA63,May,2019,0
Ukraine,Kharkiv,Krasnohradskyi,UKR,UA6306,UA63,May,2019,0
Ukraine,Kherson,Henicheskyi,UKR,UA6504,UA65,May,2019,0
Ukraine,Khmelnytskyi,Kamianets-Podilskyi,UKR,UA6802,UA68,May,2019,2
Ukraine,Khmelnytskyi,Khmelnytskyi,UKR,UA6804,UA68,May,2019,1
Ukraine,Kirovograd,Novoukrainskyi,UKR,UA3506,UA35,May,2019,0
Ukraine,Kyiv,Bilotserkivskyi,UKR,UA3202,UA32,May,2019,1
Ukraine,Kyiv,Obukhivskyi,UKR,UA3212,UA32,May,2019,1
Ukraine,Luhansk,Dovzhanskyi,UKR,UA4404,UA44,May,2019,0
Ukraine,Luhansk,Luhanskyi,UKR,UA4406,UA44,May,2019,1
Ukraine,Luhansk,Shchastynskyi,UKR,UA4416,UA44,May,2019,0
Ukraine,Lviv,Drohobytskyi,UKR,UA4602,UA46,May,2019,0
Ukraine,Lviv,Sambirskyi,UKR,UA4608,UA46,May,2019,0
Ukraine,Lviv,Yavorivskyi,UKR,UA4614,UA46,May,2019,1
Ukraine,Lviv,Zolochivskyi,UKR,UA4604,UA46,May,2019,0
Ukraine,Rivne,Rivnenskyi,UKR,UA5606,UA56,May,2019,1
Ukraine,Sumy,Okhtyrskyi,UKR,UA5904,UA59,May,2019,0
Ukraine,Vinnytsia,Haisynskyi,UKR,UA0504,UA05,May,2019,0
Ukraine,Volyn,Kovelskyi,UKR,UA0706,UA07,May,2019,0
Ukraine,Zakarpattia,Berehivskyi,UKR,UA2102,UA21,May,2019,0
Ukraine,Zhytomyr,Korostenskyi,UKR,UA1806,UA18,May,2019,1
Ukraine,Zhytomyr,Zhytomyrskyi,UKR,UA1804,UA18,May,2019,3
Ukraine,Chernihiv,Koriukivskyi,UKR,UA7402,UA74,May,2019,0
Ukraine,Chernivtsi,Chernivetskyi,UKR,UA7306,UA73,May,2019,8
Ukraine,Crimea,Yaltynskyi,UKR,UA0120,UA01,May,2019,0
Ukraine,Dnipropetrovsk,Kamianskyi,UKR,UA1204,UA12,May,2019,1
Ukraine,Dnipropetrovsk,Kryvorizkyi,UKR,UA1206,UA12,May,2019,3
Ukraine,Dnipropetrovsk,Nikopolskyi,UKR,UA1208,UA12,May,2019,0
Ukraine,Dnipropetrovsk,Novomoskovskyi,UKR,UA1210,UA12,May,2019,0
Ukraine,Ivano-Frankivsk,Kolomyiskyi,UKR,UA2608,UA26,May,2019,0
Ukraine,Ivano-Frankivsk,Kosivskyi,UKR,UA2610,UA26,May,2019,0
Ukraine,Kharkiv,Chuguivskyi,UKR,UA6314,UA63,May,2019,0
Ukraine,Luhansk,Rovenkivskyi,UKR,UA4408,UA44,May,2019,0
